Company,Link,Status,Error
Walmart,"https://www.walmart.com/
",ok,-
Amazon,"https://www.amazon.com/
",ok,-
Exxonmobil,"https://corporate.exxonmobil.com/
",ok,-
Apple,"https://www.apple.com/
",ok,-
Unitedhealthgroup,"https://www.unitedhealthgroup.com/
",ok,-
Cvshealth,"https://www.cvshealth.com/
",ok,-
Berkshirehathaway,"https://www.berkshirehathaway.com/
",ok,-
"Xyz/
","https://abc.xyz/
",ok,-
Mckesson,"https://www.mckesson.com/
",ok,-
Chevron,"https://www.chevron.com/
",ok,-
Amerisourcebergen,"https://www.amerisourcebergen.com/
",ok,-
Costco,"https://www.costco.com/
",ok,-
Microsoft,"https://www.microsoft.com/
",ok,-
Cardinalhealth,"https://www.cardinalhealth.com/
",ok,-
Cigna,"https://www.cigna.com/
",ok,-
Marathonpetroleum,"https://www.marathonpetroleum.com/
",ok,-
Phillips66,"https://www.phillips66.com/
",ok,-
Valero,"https://www.valero.com/
",ok,-
Ford,"https://www.ford.com/
",ok,-
Homedepot,"https://www.homedepot.com/
",ok,-
Gm,"https://www.gm.com/
",ok,-
Elevancehealth,"https://www.elevancehealth.com/
",ok,-
Jpmorganchase,"https://www.jpmorganchase.com/
",ok,-
Kroger,"https://www.kroger.com/
",ok,-
Centene,"https://www.centene.com/
",ok,-
Verizon,"https://www.verizon.com/
",ok,-
Walgreensbootsalliance,"https://www.walgreensbootsalliance.com/
",ok,-
Fanniemae,"https://www.fanniemae.com/
",ok,-
Comcast,"https://corporate.comcast.com/
",ok,-
Att,"https://www.att.com
",ok,-
Facebook,"https://about.facebook.com/
",ok,-
Bankofamerica,"https://www.bankofamerica.com/
",ok,-
Target,"https://www.target.com/
",ok,-
Dell,"https://www.dell.com/
",ok,-
Adm,"https://www.adm.com/
",ok,-
Citigroup,"https://www.citigroup.com/
",ok,-
Ups,"https://www.ups.com/
",ok,-
Pfizer,"https://www.pfizer.com/
",ok,-
Lowes,"https://www.lowes.com/
",ok,-
Jnj,"https://www.jnj.com/
",ok,-
Fedex,"https://www.fedex.com/
",ok,-
Humana,"https://www.humana.com/
",ok,-
Energytransfer,"https://www.energytransfer.com/
",ok,-
Statefarm,"https://www.statefarm.com/
",ok,-
Freddiemac,"https://www.freddiemac.com/
",error,Timeout Error
Pepsico,"https://www.pepsico.com/
",ok,-
Wellsfargo,"https://www.wellsfargo.com/
",ok,-
"Com/
","https://thewaltdisneycompany.com/
",ok,-
Conocophillips,"https://www.conocophillips.com/
",ok,-
Tesla,"https://www.tesla.com/
",ok,-
Pg,"https://www.pg.co.uk/
",ok,-
Ge,"https://www.ge.com/
",ok,-
Albertsons,"https://www.albertsons.com/
",ok,-
Metlife,"https://www.metlife.com/
",ok,-
Goldmansachs,"https://www.goldmansachs.com/
",ok,-
Sysco,"https://www.sysco.com/
",ok,-
Rtx,"https://www.rtx.com/
",ok,-
Boeing,"https://www.boeing.com/
",ok,-
Stonex,"https://www.stonex.com/
",ok,-
Lockheedmartin,"https://www.lockheedmartin.com/
",ok,-
Morganstanley,"https://www.morganstanley.com/
",error,Timeout Error
Intel,"https://www.intel.com
",ok,-
Hp,"https://www.hp.com/
",ok,-
Tdsynnex,"https://www.tdsynnex.com/
",ok,-
Ibm,"https://www.ibm.com/
",ok,-
Prudential,"https://www.prudential.com/
",ok,-
Caterpillar,"https://www.caterpillar.com/
",error,Timeout Error
Merck,"https://www.merck.com/
",ok,-
World-kinect,"https://www.world-kinect.com/
",ok,-
Newyorklife,"https://www.newyorklife.com/
",ok,-
Abbvie,"https://www.abbvie.com/
",ok,-
Plains,"https://www.plains.com/
",ok,-
Dow,"https://www.dow.com/
",ok,-
Aig,"https://www.aig.com/
",ok,-
Americanexpress,"https://www.americanexpress.com/
",ok,-
Publix,"https://www.publix.com/
",ok,-
Charter,"https://corporate.charter.com/
",ok,-
Tysonfoods,"https://www.tysonfoods.com/
",ok,-
Deere,"https://www.deere.com/
",ok,-
Cisco,"https://www.cisco.com/
",ok,-
Nationwide,"https://www.nationwide.com/
",ok,-
Allstate,"https://www.allstate.com/
",error,Timeout Error
Delta,"https://www.delta.com/
",ok,-
Libertymutualgroup,"https://www.libertymutualgroup.com/
",ok,-
Tjx,"https://www.tjx.com/
",ok,-
Progressive,"https://www.progressive.com/
",ok,-
Aa,"https://www.aa.com/
",ok,-
Chsinc,"https://www.chsinc.com/
",ok,-
Pfgc,"https://www.pfgc.com/
",ok,-
Pbfenergy,"https://www.pbfenergy.com/
",ok,-
Nike,"https://www.nike.com/
",ok,-
Bestbuy,"https://www.bestbuy.com/
",ok,-
Bms,"https://www.bms.com/
",ok,-
United,"https://ir.united.com/
",ok,-
Thermofisher,"https://www.thermofisher.com/
",ok,-
Qualcomm,"https://www.qualcomm.com/
",ok,-
Abbott,"https://www.abbott.com/
",ok,-
Coca-colacompany,"https://www.coca-colacompany.com/
",ok,-
Oracle,"https://www.oracle.com
",ok,-
Nucor,"https://www.nucor.com/
",ok,-
Tiaa,"https://www.tiaa.org/
",ok,-
Massmutual,"https://www.massmutual.com
",ok,-
Gd,"https://www.gd.com/
",ok,-
Capitalone,"https://www.capitalone.com/
",ok,-
Hfsinclair,"https://www.hfsinclair.com/
",ok,-
Dollargeneral,"https://www.dollargeneral.com/
",ok,-
Arrow,"https://www.arrow.com/
",ok,-
Oxy,"https://www.oxy.com/
",ok,-
Northwesternmutual,"https://www.northwesternmutual.com/
",ok,-
