Company,Link,Status,Error
Walmart,"https://www.walmart.com
",ok,-
Amazon,"https://www.amazon.com
",ok,-
Sgcc,"https://www.sgcc.com.cn
",error,Timeout Error
Cnpc,"https://www.cnpc.com.cn
",ok,-
Sinopec,"https://www.sinopec.com
",error,Timeout Error
Aramco,"https://www.aramco.com
",ok,-
Apple,"https://www.apple.com
",ok,-
Volkswagenag,"https://www.volkswagenag.com
",ok,-
Cscec,"https://www.cscec.com
",error,Timeout Error
Cvshealth,"https://www.cvshealth.com
",ok,-
Unitedhealthgroup,"https://www.unitedhealthgroup.com
",ok,-
Exxonmobil,"https://www.exxonmobil.com
",ok,-
Global,"https://www.global.toyota/en/
",ok,-
Berkshirehathaway,"https://www.berkshirehathaway.com
",ok,-
Shell,"https://www.shell.com
",ok,-
Mckesson,"https://www.mckesson.com
",ok,-
Abc,"https://www.abc.xyz
",ok,-
Samsung,"https://www.samsung.com
",ok,-
Trafigura,"https://www.trafigura.com
",ok,-
Foxconn,"https://www.foxconn.com
",ok,-
Amerisourcebergen,"https://www.amerisourcebergen.com
",ok,-
Icbc-ltd,"https://www.icbc-ltd.com
",ok,-
Glencore,"https://www.glencore.com
",ok,-
Ccb,"https://www.ccb.com
",error,Timeout Error
Group,"https://www.group.pingan.com
",ok,-
Costco,"https://www.costco.com
",ok,-
Totalenergies,"https://www.totalenergies.com
",ok,-
Abchina,"https://www.abchina.com
",ok,-
Stellantis,"https://www.stellantis.com
",ok,-
Cigna,"https://www.cigna.com
",ok,-
Sinochem,"https://www.sinochem.com
",error,Timeout Error
Att,"https://www.att.com
",ok,-
Microsoft,"https://www.microsoft.com
",ok,-
Crecg,"https://www.crecg.com
",error,Timeout Error
Bp,"https://www.bp.com
",ok,-
Cardinalhealth,"https://www.cardinalhealth.com
",ok,-
Chevron,"https://www.chevron.com
",ok,-
Crcc,"https://www.crcc.cn
",error,Timeout Error
Chinalife,"https://www.chinalife.com.cn
",ok,-
Mitsubishicorp,"https://www.mitsubishicorp.com
",ok,-
Boc,"https://www.boc.cn
",ok,-
Homedepot,"https://www.homedepot.com
",ok,-
Baowugroup,"https://www.baowugroup.com
",error,Timeout Error
Walgreensbootsalliance,"https://www.walgreensbootsalliance.com
",ok,-
Jd,"https://www.jd.com
",ok,-
Allianz,"https://www.allianz.com
",ok,-
Axa,"https://www.axa.com
",ok,-
Marathonpetroleum,"https://www.marathonpetroleum.com
",ok,-
Elevancehealth,"https://www.elevancehealth.com
",ok,-
Thekrogerco,"https://www.thekrogerco.com
",ok,-
Gazprom,"https://www.gazprom.com
",error,Timeout Error
Ford,"https://www.ford.com
",ok,-
Verizon,"https://www.verizon.com
",ok,-
Alibabagroup,"https://www.alibabagroup.com
",error,Timeout Error
Fortum,"https://www.fortum.com
",ok,-
10086,"https://www.10086.cn
",error,Timeout Error
Minmetals,"https://www.minmetals.com
",ok,-
Bmwgroup,"https://www.bmwgroup.com
",ok,-
Ccccltd,"https://www.ccccltd.cn
",error,Timeout Error
Global,"https://www.global.honda/
",ok,-
Telekom,"https://www.telekom.com
",ok,-
Jpmorganchase,"https://www.jpmorganchase.com
",ok,-
Gm,"https://www.gm.com
",ok,-
Cnooc,"https://www.cnooc.com.cn
",ok,-
Centene,"https://www.centene.com
",ok,-
Lukoil,"https://www.lukoil.com
",ok,-
Saicmotor,"https://www.saicmotor.com
",ok,-
Shandong-energy,"https://www.shandong-energy.com
",error,Timeout Error
Crc,"https://www.crc.com.hk
",error,Timeout Error
Fb,"https://www.fb.com
",ok,-
Generali,"https://www.generali.com
",ok,-
Comcastcorporation,"https://www.comcastcorporation.com
",ok,-
Phillips66,"https://www.phillips66.com
",ok,-
Hengli,"https://www.hengli.com
",error,Timeout Error
Amer,"https://www.amer.com.cn
",ok,-
Chinacdc,"https://www.chinacdc.com
",error,Timeout Error
Itochu,"https://www.itochu.co.jp
",ok,-
Faw,"https://www.faw.com.cn
",error,Timeout Error
Sinopharm,"https://www.sinopharm.com
",error,Timeout Error
Chinapost,"https://www.chinapost.com.cn
",error,Timeout Error
Valero,"https://www.valero.com
",ok,-
Group,"https://www.group.ntt
",ok,-
Credit-agricole,"https://www.credit-agricole.com
",ok,-
Ceic,"https://www.ceic.com
",ok,-
Delltechnologies,"https://www.delltechnologies.com
",ok,-
Target,"https://www.target.com
",ok,-
Mitsui,"https://www.mitsui.com
",ok,-
Csg,"https://www.csg.cn
",error,Timeout Error
Enel,"https://www.enel.com
",ok,-
Cofco,"https://www.cofco.com
",ok,-
Fanniemae,"https://www.fanniemae.com
",ok,-
Japanpost,"https://www.japanpost.jp
",ok,-
Edf,"https://www.edf.fr
",ok,-
Huawei,"https://www.huawei.com
",ok,-
Ups,"https://www.ups.com
",ok,-
Licindia,"https://www.licindia.in
",ok,-
Dpdhl,"https://www.dpdhl.com
",ok,-
Powerchina,"https://www.powerchina.cn
",error,Timeout Error
Lowes,"https://www.lowes.com
",ok,-
Group,"https://www.group.citic
",ok,-
Nestle,"https://www.nestle.com
",ok,-
Ril,"https://www.ril.com
",ok,-
Bankofamerica,"https://www.bankofamerica.com
",ok,-
Itgholding,"https://www.itgholding.com.cn
",error,Timeout Error
Jnj,"https://www.jnj.com
",ok,-
Bosch,"https://www.bosch.com
",ok,-
Basf,"https://www.basf.com
",ok,-
Picc,"https://www.picc.com.cn
",ok,-
Eni,"https://www.eni.com
",ok,-
Eon,"https://www.eon.com
",ok,-
