Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
3m,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\3m.png,-,-,False
53,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\53.png,-,-,False
Aa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aa.png,-,-,False
Abbott,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abbott.png,"(428, 801)","(840, 834)",True
Abbvie,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abbvie.png,-,-,False
Abm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abm.png,"(663, 151)","(1183, 167)",True
Aboutcoupang,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aboutcoupang.png,-,-,False
Activisionblizzard,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\activisionblizzard.png,"(31, 1015)","(243, 1031)",True
Adm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\adm.png,"(335, 1031)","(381, 1045)",True
Adobe,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\adobe.png,-,-,False
Adp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\adp.png,"(137, 1043)","(327, 1061)",True
Advanceautoparts,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\advanceautoparts.png,-,-,False
Aes,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aes.png,"(126, 934)","(994, 958)",True
Aflac,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aflac.png,-,-,False
Agcocorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\agcocorp.png,"(364, 875)","(1512, 899)",True
Aig,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aig.png,-,-,False
Airbnb,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\airbnb.png,-,-,False
Airproducts,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\airproducts.png,"(101, 1031)","(215, 1047)",True
Ajg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ajg.png,"(501, 933)","(1403, 951)",True
Alaskaair,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\alaskaair.png,-,-,False
Albemarle,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\albemarle.png,"(151, 57)","(1435, 73)",True
Albertsons,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\albertsons.png,-,-,False
Alcoa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\alcoa.png,"(103, 1027)","(217, 1043)",True
Allstate,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\allstate.png,"(359, 873)","(709, 889)",True
Ally,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ally.png,-,-,False
Alticeusa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\alticeusa.png,-,-,False
Altria,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\altria.png,-,-,False
Amazon,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amazon.png,-,-,False
Amd,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amd.png,-,-,False
Ameren,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ameren.png,-,-,False
Americanexpress,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\americanexpress.png,-,-,False
