Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
3m,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\3m.png,-,-,False
7andi,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\7andi.png,-,-,False
Aa,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aa.png,-,-,False
Ab-inbev,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ab-inbev.png,"(31, 941)","(1023, 960)",True
Abb,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\abb.png,-,-,False
Abbott,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\abbott.png,"(428, 801)","(840, 834)",True
Abbvie,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\abbvie.png,-,-,False
Abc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\abc.png,"(1585, 934)","(1851, 954)",True
Abchina,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\abchina.png,-,-,False
About,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\about.png,"(657, 511)","(1223, 529)",True
Accenture,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\accenture.png,"(31, 955)","(513, 971)",True
Adm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\adm.png,"(335, 1031)","(381, 1045)",True
Aegon,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aegon.png,-,-,False
Aeon,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aeon.png,-,-,False
Aholddelhaize,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aholddelhaize.png,"(736, 300)","(996, 326)",True
Aia,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aia.png,-,-,False
Aig,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aig.png,-,-,False
Airbus,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\airbus.png,"(31, 1021)","(223, 1037)",True
Albertsonscompanies,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\albertsonscompanies.png,-,-,False
Allianz,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\allianz.png,"(674, 148)","(1180, 172)",True
Allstate,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\allstate.png,"(51, 873)","(709, 889)",True
Amazon,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\amazon.png,-,-,False
Amer,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\amer.png,-,-,False
Americamovil,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\americamovil.png,-,-,False
Americanexpress,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\americanexpress.png,-,-,False
Amerisourcebergen,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\amerisourcebergen.png,"(397, 915)","(747, 935)",True
Angloamerican,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\angloamerican.png,-,-,False
Apple,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\apple.png,-,-,False
Aramco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\aramco.png,"(599, 998)","(742, 1022)",True
Arrow,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\arrow.png,-,-,False
Astrazeneca,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\astrazeneca.png,"(498, 20)","(592, 46)",True
Att,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\att.png,-,-,False
Avic,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\avic.png,-,-,False
