Company name,Image path,Top-left coord,Bottom-Right coord
Abbott,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abbott.png,"(428, 801)","(840, 834)"
Abm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abm.png,"(663, 151)","(1183, 167)"
Adm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\adm.png,"(335, 1031)","(381, 1045)"
Adp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\adp.png,"(137, 1043)","(327, 1061)"
Aes,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aes.png,"(126, 934)","(994, 958)"
Agcocorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\agcocorp.png,"(364, 875)","(1512, 899)"
Airproducts,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\airproducts.png,"(101, 1031)","(215, 1047)"
Ajg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ajg.png,"(501, 933)","(1403, 951)"
Albemarle,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\albemarle.png,"(151, 57)","(1435, 73)"
Alcoa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\alcoa.png,"(103, 1027)","(217, 1043)"
Americantower,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\americantower.png,"(27, 1007)","(233, 1027)"
Amerisourcebergen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amerisourcebergen.png,"(397, 915)","(747, 935)"
Amgen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amgen.png,"(273, 891)","(787, 909)"
Analog,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\analog.png,"(30, 1014)","(310, 1042)"
Andersonsinc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\andersonsinc.png,"(382, 846)","(1458, 870)"
Appliedmaterials,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\appliedmaterials.png,"(331, 1008)","(1073, 1027)"
Arconic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arconic.png,"(42, 18)","(1036, 47)"
Assurant,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\assurant.png,"(342, 840)","(578, 868)"
Autoliv,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\autoliv.png,"(30, 36)","(464, 62)"
Averydennison,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\averydennison.png,"(31, 1031)","(211, 1051)"
Bakerhughes,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bakerhughes.png,"(663, 151)","(777, 169)"
