Company name,Image path,Top-left coord,Bottom-Right coord
Aa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aa.png,"(1523, 131)","(1792, 167)"
Abbott,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abbott.png,"(1381, 1781)","(1567, 1806)"
Abm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\abm.png,"(1613, 250)","(1974, 259)"
Aes,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\aes.png,"(2185, 1899)","(2316, 1918)"
Agcocorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\agcocorp.png,"(1379, 1854)","(1437, 1874)"
Airproducts,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\airproducts.png,"(163, 2009)","(284, 2023)"
Ajg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ajg.png,"(1450, 1911)","(1635, 1927)"
Albemarle,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\albemarle.png,"(1101, 55)","(1685, 69)"
Alcoa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\alcoa.png,"(49, 2002)","(284, 2021)"
Allstate,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\allstate.png,"(196, 1848)","(407, 1862)"
Americantower,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\americantower.png,"(28, 1985)","(234, 2005)"
Amerisourcebergen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amerisourcebergen.png,"(1346, 1893)","(1620, 1907)"
Amgen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\amgen.png,"(635, 1902)","(703, 1915)"
Analog,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\analog.png,"(30, 1991)","(310, 2019)"
Andersonsinc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\andersonsinc.png,"(1510, 1827)","(1975, 1847)"
Apa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\apa.png,"(175, 2006)","(228, 2020)"
Appliedmaterials,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\appliedmaterials.png,"(1280, 1985)","(1423, 1999)"
Arconic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arconic.png,"(30, 19)","(854, 48)"
Arrow,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\arrow.png,"(1280, 1988)","(1545, 2008)"
Assurant,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\assurant.png,"(1291, 1814)","(1531, 1845)"
Autoliv,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\autoliv.png,"(30, 36)","(465, 61)"
Avantorsciences,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\avantorsciences.png,"(28, 1869)","(183, 1883)"
Averydennison,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\averydennison.png,"(49, 2011)","(278, 2030)"
Avnet,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\avnet.png,"(16, 2000)","(111, 2014)"
Bathandbodyworks,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bathandbodyworks.png,"(1423, 1987)","(1591, 2018)"
Baxter,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\baxter.png,"(49, 1863)","(192, 1883)"
Bc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bc.png,"(21, 2011)","(1406, 2036)"
Berryglobal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\berryglobal.png,"(160, 2009)","(275, 2023)"
Biogen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\biogen.png,"(1403, 1961)","(1578, 1978)"
Blackrock,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\blackrock.png,"(1621, 246)","(2211, 266)"
Blackstone,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\blackstone.png,"(309, 2000)","(1019, 2017)"
Bldr,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bldr.png,"(104, 1744)","(430, 1783)"
Bms,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\bms.png,"(273, 1860)","(505, 1874)"
Borgwarner,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\borgwarner.png,"(1591, 1851)","(1796, 1871)"
Broadcom,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\broadcom.png,"(3303, 1919)","(3376, 1933)"
Burlington,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\burlington.png,"(97, 2006)","(204, 2023)"
Caesars,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\caesars.png,"(29, 2010)","(125, 2019)"
Campbells,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\campbells.png,"(1794, 1911)","(2017, 1930)"
Caterpillar,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\caterpillar.png,"(459, 1952)","(712, 1969)"
Cbrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cbrands.png,"(1621, 246)","(2059, 260)"
Cbre,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cbre.png,"(1609, 249)","(2166, 263)"
Cdw,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cdw.png,"(85, 2012)","(302, 2029)"
Chevron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\chevron.png,"(28, 2011)","(945, 2032)"
Chrobinson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\chrobinson.png,"(46, 2012)","(165, 2029)"
Cintas,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cintas.png,"(28, 2006)","(903, 2023)"
Citigroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\citigroup.png,"(637, 1892)","(925, 1916)"
Cmc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cmc.png,"(1340, 1854)","(1539, 1871)"
Coca-colacompany,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\coca-colacompany.png,"(1887, 799)","(1993, 816)"
Cognizant,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cognizant.png,"(2681, 18)","(2812, 38)"
Colgatepalmolive,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\colgatepalmolive.png,"(1689, 217)","(1957, 237)"
Comcast,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\comcast.png,"(15, 1912)","(767, 1943)"
Commscope,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\commscope.png,"(77, 2010)","(122, 2019)"
Conagrabrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\conagrabrands.png,"(178, 2006)","(305, 2023)"
Constellationenergy,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\constellationenergy.png,"(166, 2024)","(284, 2041)"
Corteva,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\corteva.png,"(1213, 1895)","(1404, 1923)"
Crowncork,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\crowncork.png,"(1391, 1833)","(1443, 1847)"
Cummins,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cummins.png,"(127, 1916)","(523, 1933)"
Dana,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dana.png,"(2058, 313)","(2124, 322)"
Danaher,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\danaher.png,"(1612, 246)","(2101, 260)"
Davita,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\davita.png,"(1334, 2012)","(1426, 2029)"
Deere,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\deere.png,"(3034, 1857)","(3397, 1877)"
Delta,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\delta.png,"(2176, 754)","(2232, 768)"
Dow,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dow.png,"(1614, 248)","(1899, 276)"
Eastman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\eastman.png,"(1244, 1976)","(1485, 1993)"
Ebay,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ebay.png,"(1286, 1857)","(2540, 1874)"
Ecolab,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ecolab.png,"(1482, 1934)","(2400, 1962)"
Elcompanies,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\elcompanies.png,"(127, 1896)","(610, 1910)"
Emcorgroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\emcorgroup.png,"(1624, 1979)","(1915, 1999)"
Energytransfer,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\energytransfer.png,"(941, 2010)","(997, 2019)"
Expediagroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\expediagroup.png,"(28, 1934)","(254, 1954)"
Exxonmobil,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\exxonmobil.png,"(663, 135)","(811, 153)"
Facebook,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\facebook.png,"(1574, 477)","(2187, 513)"
Fanniemae,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fanniemae.png,"(439, 2016)","(501, 2025)"
Fbin,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fbin.png,"(1232, 1931)","(1381, 1951)"
Fiserv,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fiserv.png,"(969, 106)","(1330, 126)"
Ford,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ford.png,"(28, 2009)","(213, 2026)"
Franklinresources,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\franklinresources.png,"(1666, 996)","(1918, 1016)"
Gd,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\gd.png,"(1444, 1976)","(2116, 1996)"
Ge,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ge.png,"(2677, 1939)","(2756, 1964)"
Generalmills,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\generalmills.png,"(31, 2012)","(210, 2032)"
Genpt,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\genpt.png,"(196, 2006)","(317, 2023)"
Globalp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\globalp.png,"(1474, 1872)","(1665, 1889)"
Goldmansachs,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\goldmansachs.png,"(1758, 178)","(2041, 198)"
Goodyear,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\goodyear.png,"(154, 2006)","(344, 2023)"
Graphicpkg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\graphicpkg.png,"(3457, 1759)","(3621, 1779)"
Guardianlife,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\guardianlife.png,"(1307, 2006)","(1575, 2023)"
Hilton,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\hilton.png,"(1613, 1885)","(1711, 1894)"
Hp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\hp.png,"(1854, 1731)","(2035, 1748)"
Huntsman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\huntsman.png,"(28, 2009)","(222, 2029)"
Iff,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\iff.png,"(1376, 1946)","(1566, 1966)"
Ingredion,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ingredion.png,"(1725, 61)","(2086, 81)"
Insight,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\insight.png,"(1749, 249)","(1850, 269)"
Interpublic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\interpublic.png,"(730, 1976)","(1061, 1993)"
Jackson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jackson.png,"(2389, 1988)","(2501, 2005)"
Jacobs,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jacobs.png,"(29, 1986)","(282, 2013)"
Jbhunt,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jbhunt.png,"(160, 2006)","(210, 2020)"
Jetblue,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jetblue.png,"(1553, 102)","(1996, 147)"
Jmsmucker,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jmsmucker.png,"(1615, 312)","(1871, 326)"
Jnj,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jnj.png,"(1839, 309)","(1921, 323)"
Kindermorgan,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kindermorgan.png,"(1522, 999)","(1650, 1013)"
Kla,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kla.png,"(163, 2012)","(284, 2029)"
Knight-swift,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\knight-swift.png,"(1629, 437)","(1922, 465)"
Labcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\labcorp.png,"(31, 2021)","(165, 2041)"
Lamresearch,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lamresearch.png,"(1026, 2009)","(1145, 2023)"
Landolakesinc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\landolakesinc.png,"(1456, 1896)","(1566, 1913)"
Lear,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lear.png,"(1403, 2027)","(1936, 2047)"
Lilly,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lilly.png,"(1731, 987)","(1895, 1001)"
Lithia,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lithia.png,"(1193, 1987)","(2508, 2012)"
