Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/3m,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/3m.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/7andi,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/7andi.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aa.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/ab-inbev,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/ab-inbev.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/abb,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/abb.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/abbott,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/abbott.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/abbvie,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/abbvie.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/abc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/abc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/abchina,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/abchina.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/about,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/about.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/accenture,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/accenture.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/adm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/adm.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aegon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aegon.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aeon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aeon.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aholddelhaize,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aholddelhaize.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aia,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aia.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aig,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aig.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/airbus,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/airbus.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/albertsonscompanies,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/albertsonscompanies.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/allianz,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/allianz.png,True,['Sneaking']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/allstate,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/allstate.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/amazon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/amazon.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/amer,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/amer.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/americamovil,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/americamovil.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/americanexpress,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/americanexpress.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/amerisourcebergen,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/amerisourcebergen.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/angloamerican,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/angloamerican.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/apple,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/apple.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aramco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aramco.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/arrow,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/arrow.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/astrazeneca,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/astrazeneca.png,True,"['Interference', 'Sneaking']"
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/att,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/att.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/avic,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/avic.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/aviva,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/aviva.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/axa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/axa.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bankcomm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bankcomm.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bankofamerica,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bankofamerica.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/basf,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/basf.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bat,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bat.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bayer,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bayer.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bb,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bb.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bbva,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bbva.png,True,['Obstruction']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/berkshirehathaway,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/berkshirehathaway.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bharatpetroleum,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bharatpetroleum.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bhp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bhp.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bms,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bms.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bmwgroup,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bmwgroup.png,True,['Image crop error']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/boc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/boc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/boeing,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/boeing.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bosch,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bosch.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bouygues,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bouygues.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bp.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/bradesco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/bradesco.png,False,[]
