Name,Image-path,Result
C:/users/thomas/documents/thesis/image analysis/positive/abbott,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/abbott.png,True
C:/users/thomas/documents/thesis/image analysis/positive/abm,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/abm.png,True
C:/users/thomas/documents/thesis/image analysis/positive/activisionblizzard,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/activisionblizzard.png,True
C:/users/thomas/documents/thesis/image analysis/positive/adm,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/adm.png,True
C:/users/thomas/documents/thesis/image analysis/positive/adp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/adp.png,False
C:/users/thomas/documents/thesis/image analysis/positive/aes,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/aes.png,True
C:/users/thomas/documents/thesis/image analysis/positive/agcocorp,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/agcocorp.png,True
C:/users/thomas/documents/thesis/image analysis/positive/airproducts,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/airproducts.png,True
C:/users/thomas/documents/thesis/image analysis/positive/ajg,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/ajg.png,True
C:/users/thomas/documents/thesis/image analysis/positive/albemarle,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/albemarle.png,False
C:/users/thomas/documents/thesis/image analysis/positive/alcoa,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/alcoa.png,True
C:/users/thomas/documents/thesis/image analysis/positive/allstate,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/allstate.png,False
C:/users/thomas/documents/thesis/image analysis/positive/americantower,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/americantower.png,True
C:/users/thomas/documents/thesis/image analysis/positive/amerisourcebergen,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/amerisourcebergen.png,False
C:/users/thomas/documents/thesis/image analysis/positive/amgen,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/amgen.png,False
C:/users/thomas/documents/thesis/image analysis/positive/analog,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/analog.png,True
C:/users/thomas/documents/thesis/image analysis/positive/andersonsinc,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/andersonsinc.png,False
C:/users/thomas/documents/thesis/image analysis/positive/apollo,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/apollo.png,False
C:/users/thomas/documents/thesis/image analysis/positive/appliedmaterials,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/appliedmaterials.png,True
C:/users/thomas/documents/thesis/image analysis/positive/arconic,C:/Users/Thomas/Documents/Thesis/Image analysis/positive/arconic.png,False
